Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13368,Gitaroo Man,PS2,2001.0,Misc,THQ,0.02,0.02,0.0,0.01,0.05
11518,Shonen Jump's One Piece: Pirates Carnival,GC,2005.0,Misc,Namco Bandai Games,0.06,0.02,0.0,0.0,0.08
14741,Pro Evolution Soccer 2017,XOne,2016.0,Sports,Konami Digital Entertainment,0.0,0.02,0.0,0.0,0.03
7072,Naruto Shippuden: Ninja Council 4,DS,2007.0,Action,Nintendo,0.09,0.0,0.13,0.01,0.23
7124,The Magic School Bus: Oceans,DS,2011.0,Adventure,Scholastic Inc.,0.21,0.0,0.0,0.01,0.23
4148,Fantavision,PS2,2000.0,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47
15102,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,2011.0,Misc,Paon,0.0,0.0,0.02,0.0,0.02
8671,Tiger Woods PGA Tour 2004,GC,2003.0,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.16
11348,America's Next Top Model,Wii,2010.0,Action,Crave Entertainment,0.08,0.0,0.0,0.01,0.08
4739,Green Day: Rock Band,X360,2010.0,Misc,MTV Games,0.24,0.13,0.0,0.04,0.41
880,Who wants to be a millionaire,PC,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94
2736,Mega Man X5,PS,2000.0,Platform,Capcom,0.3,0.21,0.2,0.05,0.75
8466,Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
6655,Birds of Steel,PS3,2012.0,Simulation,Konami Digital Entertainment,0.1,0.09,0.02,0.04,0.25
1641,Parfait: Chocolat Second Style,PS2,2006.0,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
2766,Jampack Summer 2001,PS2,2001.0,Misc,Sony Computer Entertainment,0.36,0.28,0.0,0.1,0.74
16074,World Poker Tour,GBA,2005.0,Misc,Take-Two Interactive,0.01,0.0,0.0,0.0,0.01
453,World Class Track Meet,NES,1986.0,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
9600,Fit in Six,PS3,2011.0,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13
4399,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,Eidos Interactive,0.25,0.17,0.0,0.03,0.45
14660,Mega Minis Volume 2,PSP,2011.0,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03
10953,GripShift,PSP,2005.0,Racing,Ubisoft,0.08,0.0,0.0,0.01,0.09
7136,Legion: The Legend of Excalibur,PS2,2002.0,Action,Midway Games,0.11,0.09,0.0,0.03,0.22
2865,Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,Sega,0.35,0.27,0.0,0.09,0.71
14492,Lux-Pain (JP sales),DS,2008.0,Adventure,Rising Star Games,0.0,0.0,0.03,0.0,0.03
16471,Exstetra,3DS,2013.0,Role-Playing,FuRyu,0.0,0.0,0.01,0.0,0.01
8894,DreamWorks Super Star Kartz,Wii,2011.0,Racing,Activision,0.1,0.04,0.0,0.01,0.15
15278,World Championship Poker featuring Howard Lederer: All In,Wii,2006.0,Misc,505 Games,0.02,0.0,0.0,0.0,0.02
3130,Dragon Age: Inquisition,PS3,2014.0,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.1,0.65
11613,Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003.0,Role-Playing,Sega,0.06,0.02,0.0,0.0,0.08
6910,Scrabble (Others sales),DS,2009.0,Puzzle,Ubisoft,0.0,0.24,0.0,0.0,0.24
1756,Test Drive: Off Road,PS,1997.0,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16
6200,F1 ROC: Race of Champions,SNES,1992.0,Sports,Ocean,0.0,0.0,0.28,0.0,0.28
2094,Cars: Race-O-Rama,Wii,2009.0,Racing,THQ,0.61,0.3,0.0,0.09,0.99
12426,Winx Club: Quest for the Codex,DS,2006.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
7451,Tony Hawk's Motion,DS,2008.0,Sports,Activision,0.19,0.0,0.0,0.02,0.21
14721,Aegis of Earth: Protonovus Assault,PS3,2016.0,Action,PQube,0.01,0.01,0.0,0.0,0.03
13113,Metal Max 2 Reloaded,DS,2011.0,Role-Playing,Unknown,0.0,0.0,0.05,0.0,0.05
12932,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016.0,Action,Activision,0.01,0.03,0.0,0.01,0.05
6278,M&M's Blast!,GBA,2001.0,Puzzle,Unknown,0.2,0.07,0.0,0.0,0.27
7172,Breath of Fire,GBA,2001.0,Role-Playing,Ubisoft,0.11,0.04,0.06,0.0,0.22
3759,Jewel Master Egypt,DS,2009.0,Puzzle,Rondomedia,0.21,0.27,0.0,0.05,0.53
3461,Tom Clancy's HAWX,X360,2009.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
5721,The Incredible Hulk,Wii,2008.0,Action,Sega,0.28,0.01,0.0,0.02,0.31
543,Sonic and the Secret Rings,Wii,2007.0,Platform,Sega,1.24,1.2,0.04,0.3,2.77
7848,The Polar Express,GBA,2004.0,Adventure,THQ,0.14,0.05,0.0,0.0,0.19
14184,Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
10306,Master of the Monster Lair,DS,2007.0,Role-Playing,Rising Star Games,0.1,0.0,0.0,0.01,0.11
10872,Wordmaster,DS,2008.0,Strategy,Zoo Digital Publishing,0.09,0.0,0.0,0.01,0.09
14664,Kidou Senshi V Gundam,SNES,1994.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
3393,CyberTiger,PS,1998.0,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59
10776,InuYasha: Secret of the Divine Jewel,DS,2007.0,Role-Playing,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1
13395,Lux-Pain,DS,2008.0,Adventure,Rising Star Games,0.04,0.0,0.0,0.0,0.05
11166,Bionicle,GBA,2003.0,Action,THQ,0.06,0.02,0.0,0.0,0.09
3120,Kung-Fu Master,2600,1987.0,Action,Activision,0.6,0.04,0.0,0.01,0.65
10949,NBA 2K16,PC,2015.0,Sports,Take-Two Interactive,0.02,0.06,0.0,0.01,0.09
9591,PBR: Out of the Chute,Wii,2008.0,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.13
11034,Fullmetal Alchemist: Dual Sympathy,DS,2005.0,Role-Playing,Empire Interactive,0.05,0.0,0.04,0.0,0.09
5426,Disney Sing It: Pop Hits,PS2,2009.0,Misc,Disney Interactive Studios,0.1,0.02,0.0,0.22,0.34
1331,Dragon Quest Monsters: Joker 2,DS,2010.0,Role-Playing,Square Enix,0.11,0.08,1.24,0.02,1.45
10479,Gretzky NHL,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.01,0.1
5789,NASCAR Thunder 2003,GC,2002.0,Racing,Electronic Arts,0.24,0.06,0.0,0.01,0.31
13192,QUIZ PARTY,Wii,2012.0,Misc,Nintendo,0.0,0.05,0.0,0.0,0.05
3357,Avatar: The Game,PSP,2009.0,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6
15831,The Haunted: Hell's Reach,PC,2011.0,Shooter,Visco,0.02,0.0,0.0,0.0,0.02
9127,Project V6,PS,1998.0,Strategy,General Entertainment,0.0,0.0,0.13,0.01,0.14
4010,Tomb Raider: Anniversary,PS2,2007.0,Action,Eidos Interactive,0.41,0.02,0.0,0.07,0.5
15844,Usavichi: Game no Jikan,DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14804,Ookiku Furikabutte: Honto no Ace ni Nareru kamo,DS,2007.0,Sports,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03
7594,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009.0,Misc,Take-Two Interactive,0.19,0.0,0.0,0.01,0.2
12410,Call of Duty 2,PC,2005.0,Shooter,Activision,0.0,0.05,0.0,0.01,0.06
7437,Batman Begins,XB,2005.0,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21
6671,Final Fantasy II,WS,2001.0,Role-Playing,SquareSoft,0.0,0.0,0.25,0.0,0.25
5430,Pirates of the Caribbean: At World's End,X360,2007.0,Action,Disney Interactive Studios,0.29,0.02,0.0,0.03,0.34
259,Asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
10787,Man vs. Wild,X360,2011.0,Action,Crave Entertainment,0.09,0.0,0.0,0.01,0.1
461,Epic Mickey,Wii,2010.0,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
3306,New Play Control! Donkey Kong Jungle Beat,Wii,2008.0,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61
11873,Rugby World Cup 2015,PS3,2015.0,Sports,Ubisoft,0.0,0.06,0.0,0.01,0.07
8820,Killer7,GC,2005.0,Action,Capcom,0.12,0.03,0.0,0.0,0.15
252,Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
5525,F1 2013,X360,2013.0,Racing,Codemasters,0.01,0.28,0.0,0.03,0.33
14218,Young Justice: Legacy,Wii,2013.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03
10974,Total Overdose: A Gunslinger's Tale in Mexico,PS2,2005.0,Shooter,Eidos Interactive,0.04,0.04,0.0,0.01,0.09
10530,Weiss Schwarz Portable,PSP,2011.0,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
16277,Farming Simulator 15 Expansion Pack,PC,2015.0,Action,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01
13694,Rise of Nations,PC,2003.0,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04
13249,Rugby 2005,XB,2005.0,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05
4815,Power Rangers: Dino Thunder,GC,2004.0,Action,THQ,0.31,0.08,0.0,0.01,0.4
573,Medal of Honor Heroes,PSP,2006.0,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
8440,Klonoa,Wii,2008.0,Platform,Namco Bandai Games,0.11,0.02,0.03,0.01,0.17
6739,We Love Golf!,Wii,2007.0,Sports,Capcom,0.2,0.01,0.03,0.02,0.25
5796,The King of Fighters XIII,PS3,2011.0,Fighting,Rising Star Games,0.17,0.07,0.04,0.03,0.31
16308,Duel Masters: Shadow of the Code,GBA,2004.0,Misc,Atari,0.01,0.0,0.0,0.0,0.01
3750,Popeye,2600,1982.0,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54
7782,Space Invaders Extreme 2,DS,2009.0,Shooter,Square Enix,0.17,0.01,0.0,0.01,0.19
1074,Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,LucasArts,0.9,0.47,0.0,0.32,1.68
7445,The Last Airbender,Wii,2010.0,Action,THQ,0.12,0.07,0.0,0.02,0.21
3499,Parasite Eve II,PS,1999.0,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58
15601,Call of Duty: Modern Warfare Trilogy,PS3,2016.0,Shooter,Activision,0.0,0.01,0.0,0.0,0.02
16397,Nova Usagi no Game de Ryuugaku!? DS,DS,2007.0,Misc,Konami Digital Entertainment,0.0,0.0,0.01,0.0,0.01
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
10550,Creeper World 3: Arc Eternal,Wii,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
8105,A.C.E.: Another Century's Episode 2,PS2,2006.0,Simulation,Banpresto,0.0,0.0,0.18,0.0,0.18
6010,Imagine: Fashion Designer World Tour,DS,2009.0,Simulation,Ubisoft,0.27,0.0,0.0,0.02,0.29
12101,Family Trainer: Treasure Adventure,Wii,2010.0,Sports,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07
2476,Metroid: Zero Mission,GBA,2004.0,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84
2403,Triple Play 2002,PS2,2002.0,Sports,Electronic Arts,0.43,0.33,0.0,0.11,0.87
6652,Family Guy: Back to the Multiverse,X360,2012.0,Action,Activision,0.14,0.09,0.0,0.02,0.25
9263,BlazBlue: Chrono Phantasma Extend,PS4,2015.0,Action,PQube,0.07,0.03,0.02,0.02,0.14
12943,King Arthur,XB,2004.0,Action,Konami Digital Entertainment,0.04,0.01,0.0,0.0,0.05
13044,Downforce,PS2,2002.0,Racing,Avalon Interactive,0.03,0.02,0.0,0.01,0.05
6714,Devil Kings,PS2,2005.0,Action,Capcom,0.03,0.03,0.18,0.01,0.25
6035,Jewel Quest Mysteries: Curse of the Emerald Tear,DS,2010.0,Puzzle,Avanquest,0.0,0.25,0.0,0.04,0.29
5753,Cabela's Outdoor Adventures (2009),Wii,2009.0,Sports,Activision Value,0.29,0.0,0.0,0.02,0.31
4045,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009.0,Shooter,Activision,0.24,0.2,0.0,0.05,0.49
9889,Airborne Troops: Countdown to D-Day,PS2,2005.0,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12
11124,Test Drive: Eve of Destruction,XB,2004.0,Racing,Atari,0.07,0.02,0.0,0.0,0.09
16428,Akatsuki no Goei Trinity,PSP,2012.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
4564,Skylanders: Trap Team,PS4,2014.0,Action,Activision,0.18,0.17,0.0,0.07,0.43
14829,Let's Play Ballerina,Wii,2010.0,Sports,Deep Silver,0.02,0.0,0.0,0.0,0.03
10103,Fabulous Finds,DS,2009.0,Puzzle,ValuSoft,0.1,0.0,0.0,0.01,0.11
6491,Inazuma Eleven Strikers,Wii,2011.0,Role-Playing,Nintendo,0.0,0.01,0.25,0.0,0.26
8585,The Powerpuff Girls: Chemical X-Traction,N64,2001.0,Action,BAM! Entertainment,0.13,0.03,0.0,0.0,0.16
6445,All-Pro Football 2K8,X360,2007.0,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26
16186,Sakura-Sou no Pet na Kanojo,PSP,2013.0,Adventure,Kadokawa Games,0.0,0.0,0.01,0.0,0.01
3697,Medarot 2: Kabuto / Kuwagata Version,GB,1999.0,Role-Playing,Imagineer,0.0,0.0,0.54,0.0,0.54
1043,Game Party 3,Wii,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0.0,0.12,1.71
1357,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.41,0.02,0.19,1.42
7306,Herdy Gerdy,PS2,2002.0,Adventure,Eidos Interactive,0.11,0.08,0.0,0.03,0.22
11568,The Voice,X360,2014.0,Action,Activision,0.07,0.0,0.0,0.01,0.08
11526,Sentimental Graffiti: First Window,SAT,1997.0,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
2780,Midnight Club 3: DUB Edition,XB,2005.0,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74
5471,Hulk,XB,2003.0,Action,Universal Interactive,0.25,0.07,0.0,0.01,0.33
4677,Zone of the Enders: The 2nd Runner,PS2,2003.0,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41
16345,Fashionable Puppy: Oshare na Koinu DS,DS,2007.0,Simulation,MTO,0.0,0.0,0.01,0.0,0.01
15234,The Sims: Complete Collection,PC,2005.0,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.02
1485,Need for Speed Underground Rivals,PSP,2005.0,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32
8007,The Last Airbender,DS,2010.0,Action,THQ,0.13,0.04,0.0,0.01,0.18
4878,Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.4
6712,The Legend of Legacy,3DS,2015.0,Role-Playing,FuRyu,0.11,0.02,0.1,0.01,0.25
4613,Lemony Snicket's A Series of Unfortunate Events,GBA,2004.0,Platform,Activision,0.3,0.11,0.0,0.01,0.42
3669,Super Robot Taisen F,SAT,1997.0,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55
13277,Amnesia Crowd,PSP,2013.0,Misc,Idea Factory,0.0,0.0,0.05,0.0,0.05
13828,Draglade (JP sales),DS,2007.0,Fighting,505 Games,0.0,0.0,0.04,0.0,0.04
9306,Battlefield: Hardline,PC,2015.0,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14
8069,Mega Man Soccer,SNES,1993.0,Sports,Capcom,0.04,0.01,0.13,0.0,0.18
16484,Dengeki Gakuen RPG: Cross of Venus Special,DS,2011.0,Role-Playing,ASCII Media Works,0.0,0.0,0.01,0.0,0.01
3766,Tactics Ogre: Let Us Cling Together,PSP,2010.0,Role-Playing,Square Enix,0.15,0.07,0.27,0.05,0.53
8072,Rabbids Party Collection,Wii,2010.0,Misc,Ubisoft,0.0,0.16,0.0,0.02,0.18
4639,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
12955,Myst IV: Revelation,XB,2005.0,Adventure,Ubisoft,0.04,0.01,0.0,0.0,0.05
1669,LEGO Star Wars III: The Clone Wars,PS3,2011.0,Action,LucasArts,0.52,0.49,0.0,0.2,1.2
7758,Petz Pony: Beauty Pageant,DS,2009.0,Simulation,Ubisoft,0.18,0.0,0.0,0.01,0.19
4465,Jikkyou Powerful Pro Yakyuu 9,PS2,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44
11169,Lego Star Wars: The Force Awakens,WiiU,2016.0,Action,Warner Bros. Interactive Entertainment,0.04,0.04,0.0,0.01,0.09
15596,Gallop Racer Inbreed,PS2,2006.0,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
14221,First Queen: Ornic Senki,SNES,1994.0,Role-Playing,Culture Brain,0.0,0.0,0.03,0.0,0.03
5327,From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.32,0.02,0.35
13731,Gal*Gun,X360,2011.0,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04
2748,Street Fighter EX Plus Alpha,PS,1997.0,Fighting,Virgin Interactive,0.28,0.19,0.23,0.05,0.75
12417,A New Beginning,PC,2010.0,Adventure,Deep Silver,0.0,0.05,0.0,0.01,0.06
10513,Vandal Hearts II,PS,1999.0,Strategy,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.1
12028,Operation: Vietnam,DS,2007.0,Shooter,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07
11643,NHL Hitz 20-03,GC,2002.0,Sports,Midway Games,0.06,0.02,0.0,0.0,0.08
7479,Gallop Racer 2003: A New Breed,PS2,2002.0,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21
13118,Chameleon Twist 2,N64,1998.0,Platform,Infogrames,0.04,0.01,0.0,0.0,0.05
4645,Mega Man X6,PS,2001.0,Action,Capcom,0.14,0.1,0.16,0.03,0.42
13162,Cartoon Network Racing,DS,2006.0,Action,Game Factory,0.04,0.0,0.0,0.0,0.05
15507,Muchi Muchi Pork & Pink Sweets,X360,2011.0,Shooter,Cave,0.0,0.0,0.02,0.0,0.02
594,Killzone: Shadow Fall,PS4,2013.0,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58
10744,MotoGP 07,PS2,2007.0,Racing,Capcom,0.05,0.04,0.0,0.01,0.1
15131,Interactive Storybook DS Series 3,DS,2007.0,Misc,Tommo,0.02,0.0,0.0,0.0,0.02
9334,Peppa Pig: Fun and Games,Wii,2010.0,Misc,Ubisoft,0.0,0.12,0.0,0.02,0.13
7992,Cabela's Survival: Shadows of Katmai,X360,2011.0,Sports,Activision,0.14,0.03,0.0,0.01,0.19
4489,SpongeBob's Atlantis SquarePantis,PS2,2007.0,Action,THQ,0.36,0.01,0.0,0.06,0.44
746,Donkey Kong Country,GB,2000.0,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19
12907,Bust-A-Bloc,PS2,2002.0,Puzzle,Midas Interactive Entertainment,0.0,0.0,0.05,0.0,0.05
6512,Power Pro Kun Pocket 5,GBA,2003.0,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.01,0.26
11710,Codename: Kids Next Door: Operation S.O.D.A.,GBA,2004.0,Platform,Global Star,0.05,0.02,0.0,0.0,0.08
8929,Phantasy Star Online Episode I & II,XB,2003.0,Role-Playing,Sega,0.11,0.03,0.0,0.01,0.15
15130,Ice Age: Dawn of the Dinosaurs,PC,2009.0,Action,Activision,0.02,0.0,0.0,0.0,0.02
